HGNC ID	Entrez Gene ID
HGNC:10760	6418
HGNC:10761	9869
HGNC:10762	6419
HGNC:10763	23544
HGNC:10765	10291
HGNC:10766	8175
HGNC:10767	10946
HGNC:10768	23451
HGNC:10769	10992
HGNC:1077	658
HGNC:10770	23450
HGNC:10771	10262
HGNC:10773	2810
HGNC:10774	6421
HGNC:10775	23758
HGNC:10776	6422
HGNC:10777	6423
HGNC:10778	6424
HGNC:10779	6425
HGNC:1078	659
HGNC:10780	6426
HGNC:10781	6434
HGNC:10782	9295
HGNC:10783	6427
HGNC:10784	9169
HGNC:10785	6428
HGNC:10786	6429
HGNC:10787	6430
HGNC:10788	6431
HGNC:10789	6432
HGNC:1079	660
HGNC:10790	6433
HGNC:10791	8683
HGNC:10792	54021
HGNC:10798	653509
HGNC:10799	729238
HGNC:108	43
HGNC:1080	661
HGNC:10800	100288405
HGNC:10801	6439
HGNC:10802	6440
HGNC:10803	6441
HGNC:10805	6442
HGNC:10806	6443
HGNC:10807	6444
HGNC:10808	8910
HGNC:10809	6445
HGNC:1081	646
HGNC:10810	6446
HGNC:10812	23678
HGNC:10816	6447
HGNC:10817	8879
HGNC:10818	6448
HGNC:10819	6449
HGNC:1082	662
HGNC:10820	4068
HGNC:10821	9047
HGNC:10822	6450
HGNC:10823	6451
HGNC:10824	23616
HGNC:10825	6452
HGNC:10826	23677
HGNC:10827	9467
HGNC:1083	663
HGNC:10830	6455
HGNC:10831	6456
HGNC:10832	6457
HGNC:10833	51100
HGNC:10834	56904
HGNC:10835	6458
HGNC:10836	6459
HGNC:10837	727736
HGNC:10838	6461
HGNC:10839	6462
HGNC:1084	664
HGNC:10840	6464
HGNC:10841	6465
HGNC:10842	6466
HGNC:10845	7979
HGNC:10846	
HGNC:10847	6468
HGNC:10848	6469
HGNC:1085	665
HGNC:10850	6470
HGNC:10851	6471
HGNC:10852	6472
HGNC:10853	6473
HGNC:10854	6474
HGNC:10856	6476
HGNC:10857	6477
HGNC:10858	6478
HGNC:10860	6480
HGNC:10861	84620
HGNC:10862	6482
HGNC:10863	6483
HGNC:10864	6484
HGNC:10866	6487
HGNC:10867	10610
HGNC:10869	6489
HGNC:1087	666
HGNC:10870	8128
HGNC:10871	7903
HGNC:10872	8869
HGNC:10874	8778
HGNC:10875	946
HGNC:10876	27036
HGNC:10877	27181
HGNC:10878	27180
HGNC:10879	6491
HGNC:10880	6490
HGNC:10882	6492
HGNC:10883	6493
HGNC:10884	8487
HGNC:10885	6494
HGNC:10886	22933
HGNC:10887	6495
HGNC:10888	10736
HGNC:10889	6496
HGNC:10890	51804
HGNC:10891	147912
HGNC:10892	4990
HGNC:10894	10419
HGNC:10895	9525
HGNC:10896	6497
HGNC:10897	6498
HGNC:10898	6499
HGNC:10899	6500
HGNC:1090	667
HGNC:10900	728622
HGNC:10901	6502
HGNC:10902	6503
HGNC:10903	6504
HGNC:10904	7884
HGNC:10905	6554
HGNC:10906	6555
HGNC:10907	6556
HGNC:10908	4891
HGNC:10909	30061
HGNC:10910	6557
HGNC:10911	6558
HGNC:10912	
HGNC:10913	6560
HGNC:10914	9990
HGNC:10915	10723
HGNC:10916	6561
HGNC:10917	9058
HGNC:10918	6563
HGNC:10919	8170
HGNC:1092	668
HGNC:10920	6564
HGNC:10921	6565
HGNC:10922	6566
HGNC:10923	6567
HGNC:10924	9123
HGNC:10925	9122
HGNC:10926	9121
HGNC:10927	9120
HGNC:10928	9194
HGNC:10929	6568
HGNC:1093	669
HGNC:10930	10246
HGNC:10931	10786
HGNC:10932	10050
HGNC:10933	26503
HGNC:10934	6570
HGNC:10935	6571
HGNC:10936	6572
HGNC:10937	6573
HGNC:10938	10560
HGNC:10939	6505
HGNC:1094	670
HGNC:10940	6506
HGNC:10941	6507
HGNC:10942	6509
HGNC:10943	6510
HGNC:10944	6511
HGNC:10945	6512
HGNC:10946	6574
HGNC:10947	6575
HGNC:1095	671
HGNC:10952	28232
HGNC:10953	28231
HGNC:10955	6578
HGNC:10956	6579
HGNC:10959	10599
HGNC:1096	10380
HGNC:10961	28234
HGNC:10962	11309
HGNC:10963	6580
HGNC:10964	5002
HGNC:10965	5003
HGNC:10966	6582
HGNC:10967	6581
HGNC:10968	6583
HGNC:10969	6584
HGNC:1097	673
HGNC:10970	9356
HGNC:10971	10864
HGNC:10972	9376
HGNC:10973	9962
HGNC:10974	9963
HGNC:10975	9187
HGNC:10976	25769
HGNC:10977	57419
HGNC:10978	123041
HGNC:10979	6576
HGNC:10980	1468
HGNC:10981	8402
HGNC:10982	8604
HGNC:10983	10165
HGNC:10984	9016
HGNC:10985	10166
HGNC:10986	8034
HGNC:10987	10478
HGNC:10988	83733
HGNC:10989	5250
HGNC:1099	8315
HGNC:10990	291
HGNC:10991	292
HGNC:10992	293
HGNC:10993	10861
HGNC:10994	1836
HGNC:10995	376497
HGNC:10996	11001
HGNC:10997	11000
HGNC:10998	10999
HGNC:10999	10998
HGNC:1100	672
HGNC:11000	28965
HGNC:11001	9154
HGNC:11002	9153
HGNC:11003	2030
HGNC:11004	3177
HGNC:11005	6513
HGNC:11006	6514
HGNC:11007	6515
HGNC:11008	100128062
HGNC:11009	6517
HGNC:1101	675
HGNC:11010	6518
HGNC:11011	11182
HGNC:11012	7779
HGNC:11013	7780
HGNC:11014	7781
HGNC:11015	7782
HGNC:11016	1317
HGNC:11017	1318
HGNC:11018	140679
HGNC:11019	6569
HGNC:1102	23774
HGNC:11020	10568
HGNC:11021	10559
HGNC:11022	7355
HGNC:11023	23443
HGNC:11024	54020
HGNC:11025	6519
HGNC:11026	6520
HGNC:11027	6521
HGNC:11028	6522
HGNC:11029	6508
HGNC:1103	6046
HGNC:11030	8671
HGNC:11033	9497
HGNC:11034	9498
HGNC:11035	83697
HGNC:11036	6523
HGNC:11037	6524
HGNC:11038	6526
HGNC:11039	6527
HGNC:1104	8019
HGNC:11040	6528
HGNC:11041	8884
HGNC:11042	6529
HGNC:11043	386757
HGNC:11044	6538
HGNC:11045	6539
HGNC:11046	6540
HGNC:11047	11254
HGNC:11048	6530
HGNC:11049	6531
HGNC:1105	676
HGNC:11050	6532
HGNC:11051	9152
HGNC:11052	6533
HGNC:11053	54019
HGNC:11054	6534
HGNC:11055	6535
HGNC:11056	6536
HGNC:11057	6541
HGNC:11058	56301
HGNC:11059	23657
HGNC:1106	9577
HGNC:11060	6542
HGNC:11061	84889
HGNC:11062	6545
HGNC:11063	8140
HGNC:11064	9057
HGNC:11065	9056
HGNC:11066	23428
HGNC:11067	11136
HGNC:11068	6546
HGNC:11069	6543
HGNC:1107	677
HGNC:11070	6547
HGNC:11071	6548
HGNC:11072	6549
HGNC:11073	6550
HGNC:11074	6551
HGNC:11075	9368
HGNC:11076	9351
HGNC:11077	389015
HGNC:11078	6553
HGNC:11079	10479
HGNC:1108	678
HGNC:11085	6585
HGNC:11086	9353
HGNC:11087	6586
HGNC:11088	9748
HGNC:11089	6588
HGNC:1109	25798
HGNC:11092	6590
HGNC:11094	6591
HGNC:11097	6594
HGNC:11098	6595
HGNC:11099	6596
HGNC:11100	6597
HGNC:11101	8467
HGNC:11102	50485
HGNC:11103	6598
HGNC:11104	6599
HGNC:11105	6601
HGNC:11106	6602
HGNC:11107	6603
HGNC:11108	6604
HGNC:11109	6605
HGNC:11110	8289
HGNC:11111	8243
HGNC:11112	27127
HGNC:11114	8242
HGNC:11115	8284
HGNC:11117	6606
HGNC:11118	6607
HGNC:11119	6608
HGNC:1112	23397
HGNC:11120	6609
HGNC:11121	6610
HGNC:11122	23676
HGNC:11123	6611
HGNC:11124	6612
HGNC:11125	6613
HGNC:11126	6525
HGNC:11127	6614
HGNC:11128	6615
HGNC:11129	10415
HGNC:1113	680
HGNC:11131	8773
HGNC:11132	6616
HGNC:11133	9342
HGNC:11134	6617
HGNC:11135	6618
HGNC:11136	6619
HGNC:11137	6621
HGNC:11138	6622
HGNC:11139	9627
HGNC:11140	6620
HGNC:11141	6623
HGNC:11142	150094
HGNC:11148	6624
HGNC:11149	8303
HGNC:11150	6625
HGNC:11151	6626
HGNC:11152	6627
HGNC:11153	6628
HGNC:11155	6629
HGNC:11157	6631
HGNC:11158	6632
HGNC:11159	6633
HGNC:1116	682
HGNC:11160	6634
HGNC:11161	6635
HGNC:11162	6636
HGNC:11163	6637
HGNC:11164	6638
HGNC:11167	6640
HGNC:11168	6641
HGNC:11169	6645
HGNC:1117	8927
HGNC:11171	8926
HGNC:11172	6642
HGNC:11173	6643
HGNC:11174	8724
HGNC:11175	8723
HGNC:11177	6646
HGNC:11178	8435
HGNC:11179	6647
HGNC:1118	683
HGNC:11180	6648
HGNC:11181	6649
HGNC:11182	6650
HGNC:11183	6651
HGNC:11184	6652
HGNC:11185	6653
HGNC:11186	6272
HGNC:11187	6654
HGNC:11188	6655
HGNC:11189	6656
HGNC:1119	684
HGNC:11190	6663
HGNC:11191	6664
HGNC:11192	9580
HGNC:11193	8403
HGNC:11194	54345
HGNC:11195	6657
HGNC:11196	6665
HGNC:11197	11166
HGNC:11198	6666
HGNC:11199	6658
HGNC:1120	53339
HGNC:11200	6659
HGNC:11201	6660
HGNC:11202	6661
HGNC:11203	30812
HGNC:11204	6662
HGNC:11205	6667
HGNC:11206	6672
HGNC:11207	6668
HGNC:11208	6670
HGNC:11209	6671
HGNC:1121	685
HGNC:11210	53340
HGNC:11212	6674
HGNC:11214	6676
HGNC:11215	9576
HGNC:11216	9552
HGNC:11217	
HGNC:11218	30014
HGNC:11219	6678
HGNC:1122	686
HGNC:11220	8404
HGNC:11226	80208
HGNC:1123	687
HGNC:11231	51062
HGNC:11232	
HGNC:11233	6683
HGNC:11235	
HGNC:11237	6687
HGNC:11240	8877
HGNC:11241	6688
HGNC:11242	6689
HGNC:11243	10927
HGNC:11244	6690
HGNC:11245	6691
HGNC:11246	6692
HGNC:11247	10653
HGNC:11248	10816
HGNC:11249	
HGNC:1125	689
HGNC:11250	23626
HGNC:11251	6695
HGNC:11252	10418
HGNC:11253	10417
HGNC:11254	8405
HGNC:11255	6696
HGNC:11256	6694
HGNC:11257	6697
HGNC:11259	6698
HGNC:1126	690
HGNC:11260	6699
HGNC:11261	6700
HGNC:11262	6701
HGNC:11263	6702
HGNC:11264	6703
HGNC:11265	6704
HGNC:11266	
HGNC:11267	
HGNC:11268	6707
HGNC:11269	10252
HGNC:1127	652963
HGNC:11270	10253
HGNC:11271	10251
HGNC:11272	6708
HGNC:11273	6709
HGNC:11274	6710
HGNC:11275	6711
HGNC:11276	6712
HGNC:11277	10558
HGNC:11278	9517
HGNC:11279	6713
HGNC:1128	132556
HGNC:11280	8878
HGNC:11281	10011
HGNC:11283	6714
HGNC:11284	6715
HGNC:11285	6716
HGNC:11286	6719
HGNC:11288	80701
HGNC:11289	6720
HGNC:1129	693
HGNC:11290	6721
HGNC:11291	6722
HGNC:11292	6717
HGNC:11293	6644
HGNC:11295	6345
HGNC:11296	6723
HGNC:11298	6725
HGNC:11299	6727
HGNC:1130	694
HGNC:11300	6728
HGNC:11301	6729
HGNC:11302	6730
HGNC:11303	6731
HGNC:11304	6726
HGNC:11305	6732
HGNC:11306	6733
HGNC:11307	6734
HGNC:11309	8406
HGNC:1131	7832
HGNC:11311	6736
HGNC:11312	6737
HGNC:11313	6738
HGNC:11316	6741
HGNC:11317	6742
HGNC:11319	6744
HGNC:1132	10950
HGNC:11320	10006
HGNC:11321	8636
HGNC:11322	8082
HGNC:11323	6745
HGNC:11324	6746
HGNC:11325	6747
HGNC:11326	6748
HGNC:11327	6749
HGNC:11328	10534
HGNC:11329	6750
HGNC:1133	695
HGNC:11330	
HGNC:11331	6752
HGNC:11332	
HGNC:11333	6754
HGNC:11334	
HGNC:11335	6756
HGNC:11336	6757
HGNC:11337	10214
HGNC:11338	6759
HGNC:11339	6758
HGNC:11340	6760
HGNC:11341	8466
HGNC:11343	6767
HGNC:11344	6768
HGNC:11345	8434
HGNC:11346	11009
HGNC:11347	6761
HGNC:11348	6762
HGNC:1135	696
HGNC:11350	6764
HGNC:11351	7982
HGNC:11352	
HGNC:11353	6769
HGNC:11354	10274
HGNC:11355	10735
HGNC:11356	10734
HGNC:11357	8027
HGNC:11358	10254
HGNC:11359	6770
HGNC:1136	11120
HGNC:11360	6771
HGNC:11362	6772
HGNC:11363	6773
HGNC:11364	6774
HGNC:11365	6775
HGNC:11366	6776
HGNC:11367	6777
HGNC:11368	6778
HGNC:11369	6779
HGNC:1137	10385
HGNC:11370	6780
HGNC:11371	27067
HGNC:11373	6781
HGNC:11374	8614
HGNC:11375	6782
HGNC:11377	6783
HGNC:11378	26872
HGNC:1138	11119
HGNC:11386	6786
HGNC:11387	10963
HGNC:11388	6793
HGNC:11389	6794
HGNC:1139	11118
HGNC:11390	9212
HGNC:11391	6795
HGNC:11393	6790
HGNC:11394	8576
HGNC:11395	9263
HGNC:11396	9262
HGNC:11397	10733
HGNC:11398	8859
HGNC:11399	6787
HGNC:114	46
HGNC:1140	10384
HGNC:11400	23752
HGNC:11401	23617
HGNC:11402	26576
HGNC:11403	8428
HGNC:11404	10494
HGNC:11405	9024
HGNC:11406	6788
HGNC:11407	56164
HGNC:11408	6789
HGNC:11411	6792
HGNC:1142	56244
HGNC:11422	201254
