Appendix S1 Time series of the long-term experiment,,,,,,,,,,,,,,,,,,,,,,,
Worksheet 3 Transformed time series used in our Nature 2008 paper (species abundances and nutrients),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Note for those who wish to make use of these freely available data in their publications or presentations: ,,,,,,,,,,,,,,,,,,,,,,,
please cite the Ecology Letters publication of Beninca et al. as source of the data,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Day Number,Cyclopoids,Calanoids ,Rotifers,Protozoa,Nanophytoplankton,Picophytoplankton,Filamentous diatoms,Ostracods,Harpacticoids,Bacteria,Total Dissolved Inorganic Nitrogen,Soluble reactive phosphorus,,,,,,,,,,,
812.35,,-1.131700454,0.869975557,,0.954508907,-0.088356062,,,,-1.043723137,-1.195774192,0.653303257,,,,,,,,,,,
815.7,,-2.288792276,0.816101934,,0.896697138,-0.016590082,,,,-1.094535777,-0.361909449,-0.192924372,,,,,,,,,,,
819.05,,-1.354144095,1.115902335,,1.277284818,-0.261419365,,,,-0.573379025,0.025066869,-1.10782079,,,,,,,,,,,
822.4,,-0.778641775,1.173278673,,1.974030277,-0.488346392,,,,-0.660379283,-0.333855784,-0.77384588,,,,,,,,,,,
825.75,,-0.708455827,0.994432355,,1.213885216,-0.602565876,,,,-0.773328325,-0.613865368,-0.598936857,,,,,,,,,,,
829.1,,-0.090940814,0.943248819,,1.101640383,-0.717374611,,,,-1.400061104,-0.377798118,-0.740566143,,,,,,,,,,,
832.45,,0.257779033,0.836642956,,0.836968093,-0.686205257,,,,-1.169454934,0.006228028,-1.037190165,,,,,,,,,,,
835.8,,0.285167051,0.172294805,,0.461748958,-0.773679466,,,,-1.121825297,0.383861076,-1.389584946,,,,,,,,,,,
839.15,,0.942394022,0.013587563,,0.06690146,-0.761033537,,,,-0.701030547,0.711359642,-1.476551926,,,,,,,,,,,
842.5,,0.607375073,-0.354284313,,0.462125684,0.51639138,,,,-1.699339617,1.101581104,-1.310333374,,,,,,,,,,,
845.85,,0.564959819,-0.390283951,,-0.145141719,-0.239954239,,,,-1.009087445,1.225109351,-1.243151421,,,,,,,,,,,
849.2,,0.662452265,-0.449380604,,0.09883574,-0.218836578,,,,-1.779764751,1.14397069,-1.314580381,,,,,,,,,,,
852.55,,0.88287796,-0.294802799,,-0.190887623,-1.083322012,,,,-0.85473393,1.002435036,-1.456230569,,,,,,,,,,,
855.9,,0.283011114,-0.348358517,,-0.326562531,-0.930545468,,,,-0.961432197,0.863131485,-1.614679993,,,,,,,,,,,
859.25,,0.690505874,-0.462816433,,-0.133955639,-0.892758721,,,,-0.870468976,0.812611573,-1.684935777,,,,,,,,,,,
862.6,,0.275496066,-0.671777213,,-0.134278314,-0.837625395,,,,-0.636792764,1.692462599,-1.620922043,,,,,,,,,,,
865.95,,0.106916588,-0.775542284,,-0.123169232,-0.683652545,,,,-1.130946193,2.288365754,-1.47984485,,,,,,,,,,,
869.3,,0.369722819,-1.237553612,,1.03747487,-0.708115206,,,,-1.004017496,1.46468601,-0.272284306,,,,,,,,,,,
872.65,,-0.050120475,-1.237553612,,0.243587569,-0.867565203,,,,-0.863650762,-0.276405569,0.36849108,,,,,,,,,,,
876,,-0.031919284,-1.237553612,,-0.12570159,-0.924372078,,,,-0.507178096,-0.498181091,0.272583767,,,,,,,,,,,
879.35,,-0.092043987,-1.237553612,,-0.513182076,-0.983431508,,,,-0.476979477,-0.586195925,0.069639545,,,,,,,,,,,
882.7,,-0.313674464,-0.89022918,,-0.329601175,-0.9935519,,,,0.481000164,-0.577173015,-0.003414828,,,,,,,,,,,
886.05,,-0.522444798,-0.644512795,,-0.440037419,-1.041838389,,,,0.105452727,-0.53987314,-0.051749326,,,,,,,,,,,
889.4,,-0.237875987,-0.707434079,,-0.642493005,-1.021485633,,,,-0.02964712,-0.474417298,-0.139059735,,,,,,,,,,,
892.75,,-0.388507327,-0.71859005,,-0.494355419,-0.954499048,,,,-0.489400235,-0.378302628,-0.251855067,,,,,,,,,,,
896.1,,-0.400538388,-0.736412043,,-0.249343152,-0.876202547,,,,-1.155137925,-0.325915007,-0.320104672,,,,,,,,,,,
899.45,,-0.145760126,-0.695295569,,0.039137302,-0.836529118,,,,-0.611457677,-0.29202209,-0.366871131,,,,,,,,,,,
902.8,,0.09977758,-0.609275318,,0.101441325,-0.834426036,,,,-0.608736432,-0.207306771,-0.23739872,,,,,,,,,,,
906.15,,-0.053963882,-0.560396221,,0.100501997,-0.906609101,,,,-0.716644664,-0.02653489,0.2692353,,,,,,,,,,,
909.5,,-0.067801347,-0.718495572,,0.095814978,-0.364000006,,,,0.425470551,0.088025044,0.558505118,,,,,,,,,,,
