Appendix S1 Time series of the long-term experiment,,,,,,,,
Worksheet 2 Original time series of the nutrient concentrations measured in the experiment,,,,,,,,
,,,,,,,,
Note for those who wish to make use of these freely available data in their publications or presentations: ,,,,,,,,
please cite the Ecology Letters publication of Beninca et al. as source of the data,,,,,,,,
,,,,,,,,
,,,,,,,,
Date,Day number,NO2,NO3,NH4,Total dissolved inorganic nitrogen,Soluble reactive phosphorus,,
10/06/96,2161,1.3,3.53,8.5,13.33,2.38,,
17/06/96,2168,3.15,6.75,12.5,22.4,2.97,,
24/06/96,2175,2.86,5.48,11.45,19.79,3.16,,
01/07/96,2182,0.2,2.08,1,3.28,10.4,,
08/07/96,2189,4.41,0.01,0.6,5.02,0.15,,
15/07/96,2196,10.33,8.53,134.7,153.56,0.63,,
22/07/96,2203,9.82,1.8,83.95,95.57,0.36,,
29/07/96,2210,10.24,0.52,8.05,18.81,0.07,,
05/08/96,2217,44.32,10.35,5.95,60.62,0.09,,
12/08/96,2224,0.57,89.63,3.05,93.25,0.12,,
19/08/96,2231,0.57,41.04,5.45,47.06,0.07,,
26/08/96,2238,1.52,28.8,3.45,33.77,0.34,,
02/09/96,2245,0.34,11,11.8,23.14,0.04,,
09/09/96,2252,0.41,1.17,2.45,4.03,0.43,,
16/09/96,2259,0.33,1.82,2.5,4.65,0.33,,
23/09/96,2266,0.21,1.15,4.5,5.86,0.27,,
30/09/96,2273,0.88,2.91,0.3,4.09,0.1,,
07/10/96,2280,1.92,17.02,165.6,184.54,0.81,,
14/10/96,2287,25.02,43.64,126,194.66,0.07,,
21/10/96,2294,1.4,58.59,4.9,64.89,4.48,,
28/10/96,2301,0.47,71.63,5.35,77.45,1.42,,
04/11/96,2308,0.51,41.24,8.25,50,0.27,,
11/11/96,2315,0.29,18.24,4.6,23.13,0.21,,
18/11/96,2322,6.32,29.23,0.3,35.85,0.21,,
25/11/96,2329,8.87,28.88,0.25,38,0.31,,
02/12/96,2336,16.17,13.15,0.45,29.77,0.15,,
04/12/96,2338,13.9,2.74,9.45,26.09,0.36,,
16/12/96,2350,45.9,0,86.6,132.5,0.07,,
06/01/97,2371,1.11,10.38,7.4,18.89,0.04,,
13/01/97,2378,0.5,1.48,11.95,13.93,0.21,,
20/01/97,2385,0.9,9.33,6,16.23,0.28,,
27/01/97,2392,1.26,0.07,6.35,7.68,0.42,,
03/02/97,2399,1.78,0.29,10.5,12.57,0.1,,
10/02/97,2406,0.83,0,19.1,19.93,0.06,,
17/02/97,2413,1.2,0,29.8,31,0.16,,
24/02/97,2420,0.59,0.69,23.45,24.73,2.46,,
03/03/97,2427,0.07,3.02,7.05,10.14,0.48,,
10/03/97,2434,0.18,9.03,6.8,16.01,0.6,,
17/03/97,2441,0.21,36.01,7.95,44.17,1.25,,
24/03/97,2448,2.09,0,8.45,10.54,0.67,,
01/04/97,2456,0.18,5.34,5.95,11.47,0.39,,
07/04/97,2462,0.49,0.68,8.4,9.57,0.49,,
14/04/97,2469,0.24,1.85,4.6,6.69,0.45,,
21/04/97,2476,0.11,5.66,2.19,7.96,0.57,,
28/04/97,2483,0.19,0.75,14.9,15.84,0.52,,
05/05/97,2490,0.17,1.58,1.3,3.05,0.51,,
11/05/97,2496,0.23,4.99,2.35,7.57,0.48,,
26/05/97,2511,0.22,6.41,18.05,24.68,0.36,,
02/06/97,2518,0.08,2.85,2.65,5.58,0.94,,
09/06/97,2525,0.22,1.09,2.5,3.81,1.04,,
16/06/97,2532,0.11,1.12,2.95,4.18,0.96,,
23/06/97,2539,0.08,0.95,9.45,10.48,0.4,,
30/06/97,2546,0.04,2.85,7.95,10.84,0.37,,
07/07/97,2553,0.26,4.17,8.8,13.23,0.54,,
14/07/97,2560,0.07,1.41,6.1,7.58,0.12,,
21/07/97,2567,0.14,4.44,2.05,6.63,0.06,,
28/07/97,2574,0.13,1.54,11.65,13.32,0.3,,
04/08/97,2581,0.11,2.44,8.05,10.6,0.48,,
11/08/97,2588,0.39,3.72,6.15,10.26,0.27,,
18/08/97,2595,2.97,2.11,4.3,9.38,1.21,,
25/08/97,2602,0.11,2.73,4.5,7.34,0.03,,
01/09/97,2609,0.05,1.56,21.2,22.81,0.03,,
08/09/97,2616,0.16,1.28,3,4.44,0.04,,
15/09/97,2623,0.07,2.48,3.15,5.7,0.07,,
22/09/97,2630,0.11,1.97,2.05,4.13,0.31,,
29/09/97,2637,0.14,1.27,3.4,4.81,0.24,,
06/10/97,2644,0.15,0.66,10.1,10.91,0.12,,
13/10/97,2651,0.09,1.61,12,13.7,0.09,,
20/10/97,2658,0.15,0.52,8.5,9.17,0.04,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
